node_id,node_x,node_y,from_segment_id,to_segment_id,from_original_edge_id,to_original_edge_id,from_fclass,to_fclass,from_name,to_name,from_ref,to_ref,from_bridge,to_bridge,from_tunnel,to_tunnel,from_layer,to_layer,turn_angle_deg,same_nonempty_name_or_ref,review_decision,formal_graph_repaired
39994,661080.034,3542146.626,191420688_000006,833731108_000018,191420688,833731108,footway,primary,,河西大街,,,True,False,False,False,1.0,0.0,99.20422779373966,False,suspicious_grade_jump,False
39994,661080.034,3542146.626,191420688_000006,833731108_000019,191420688,833731108,footway,primary,,河西大街,,,True,False,False,False,1.0,0.0,121.47819520169402,False,suspicious_grade_jump,False
39995,661077.247,3542114.878,191420688_000008,191420693_000001,191420688,191420693,footway,footway,,,,,True,False,False,False,1.0,0.0,45.17907977031906,False,suspicious_grade_jump,False
39998,660996.898,3542137.097,191420688_000010,191420689_000011,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,80.04848705409037,False,suspicious_grade_jump,False
39998,660996.898,3542137.097,191420688_000010,191420689_000012,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,99.94399530163376,False,suspicious_grade_jump,False
39998,660996.898,3542137.097,191420688_000011,191420689_000011,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,99.98209700334444,False,suspicious_grade_jump,False
39998,660996.898,3542137.097,191420688_000011,191420689_000012,191420688,191420689,footway,tertiary,,扬子江大道,,,True,False,False,False,1.0,0.0,80.02542064093144,False,suspicious_grade_jump,False
39999,660982.7,3542141.032,191420688_000011,191420694_000001,191420688,191420694,footway,footway,,,,,True,False,False,False,1.0,0.0,47.81369764821485,False,suspicious_grade_jump,False
39999,660982.7,3542141.032,191420688_000012,191420694_000001,191420688,191420694,footway,footway,,,,,True,False,False,False,1.0,0.0,52.01982316827288,False,suspicious_grade_jump,False
40000,660984.819,3542162.423,191420688_000012,883815848_000001,191420688,883815848,footway,unclassified,,河西大街,,,True,False,False,False,1.0,0.0,99.89189949574144,False,suspicious_grade_jump,False
40000,660984.819,3542162.423,191420688_000012,883815848_000002,191420688,883815848,footway,unclassified,,河西大街,,,True,False,False,False,1.0,0.0,80.12379905668872,False,suspicious_grade_jump,False
40000,660984.819,3542162.423,191420688_000013,883815848_000001,191420688,883815848,footway,unclassified,,河西大街,,,True,False,False,False,1.0,0.0,80.12574023794072,False,suspicious_grade_jump,False
40000,660984.819,3542162.423,191420688_000013,883815848_000002,191420688,883815848,footway,unclassified,,河西大街,,,True,False,False,False,1.0,0.0,99.85856120962912,False,suspicious_grade_jump,False
40188,682884.974,3553946.63,191556314_000001,618189694_000001,191556314,618189694,service,steps,北大门,,,,False,False,False,True,0.0,0.0,122.96086189637934,False,suspicious_grade_jump,False
40188,682884.974,3553946.63,191556314_000002,618189694_000001,191556314,618189694,service,steps,北大门,,,,False,False,False,True,0.0,0.0,53.72783749625174,False,suspicious_grade_jump,False
40191,682936.677,3553961.324,191556314_000004,875398344_000001,191556314,875398344,service,service,北大门,,,,False,True,False,False,0.0,1.0,81.97096146628584,False,suspicious_grade_jump,False
40191,682936.677,3553961.324,191556314_000005,875398344_000001,191556314,875398344,service,service,北大门,,,,False,True,False,False,0.0,1.0,87.48311359663815,False,suspicious_grade_jump,False
41385,672447.34,3552013.852,194789452_000002,1446669231_000001,194789452,1446669231,footway,steps,,,,,True,False,False,False,1.0,0.0,86.34116675088869,False,suspicious_grade_jump,False
41385,672447.34,3552013.852,194789452_000003,1446669231_000001,194789452,1446669231,footway,steps,,,,,True,False,False,False,1.0,0.0,93.6613488595134,False,suspicious_grade_jump,False
41386,672436.642,3552049.569,194789452_000003,1446669229_000001,194789452,1446669229,footway,steps,,,,,True,False,False,False,1.0,0.0,90.83161922166238,False,suspicious_grade_jump,False
41386,672436.642,3552049.569,194789452_000004,1446669229_000001,194789452,1446669229,footway,steps,,,,,True,False,False,False,1.0,0.0,89.18241888001752,False,suspicious_grade_jump,False
41657,668702.218,3543350.806,205418383_000002,1436529469_000001,205418383,1436529469,residential,living_street,转龙巷,,,,False,False,False,False,0.0,-1.0,91.69450331012396,False,suspicious_grade_jump,False
41657,668702.218,3543350.806,205418383_000003,1436529469_000001,205418383,1436529469,residential,living_street,转龙巷,,,,False,False,False,False,0.0,-1.0,88.305776838795,False,suspicious_grade_jump,False
41667,668362.571,3543414.54,205418424_000002,1047337499_000001,205418424,1047337499,pedestrian,footway,门东历史文化街,,,,False,True,False,False,0.0,1.0,89.39510330528654,False,suspicious_grade_jump,False
41667,668362.571,3543414.54,205418424_000003,1047337499_000001,205418424,1047337499,pedestrian,footway,门东历史文化街,,,,False,True,False,False,0.0,1.0,91.11650265210423,False,suspicious_grade_jump,False
41694,668880.613,3546014.178,205422092_000008,1266646361_000002,205422092,1266646361,residential,path,三十四标,,,,False,False,False,False,0.0,-1.0,107.65708781770303,False,suspicious_grade_jump,False
41694,668880.613,3546014.178,205422092_000009,1266646361_000002,205422092,1266646361,residential,path,三十四标,,,,False,False,False,False,0.0,-1.0,72.37628307974236,False,suspicious_grade_jump,False
43296,669861.216,3546475.724,223942433_000002,432974118_000023,223942433,432974118,pedestrian,primary,玄津桥,龙蟠中路,,,True,False,False,False,1.0,0.0,84.06300392286916,False,suspicious_grade_jump,False
43296,669861.216,3546475.724,223942433_000002,432974118_000024,223942433,432974118,pedestrian,primary,玄津桥,龙蟠中路,,,True,False,False,False,1.0,0.0,94.298061575897,False,suspicious_grade_jump,False
45207,669016.227,3548023.938,236946069_000004,982263232_000002,236946069,982263232,service,path,,,,,False,False,False,False,0.0,-1.0,88.16041948706922,False,suspicious_grade_jump,False
45207,669016.227,3548023.938,236946069_000005,982263232_000002,236946069,982263232,service,path,,,,,False,False,False,False,0.0,-1.0,90.9448354238848,False,suspicious_grade_jump,False
45216,668982.276,3548045.466,236946074_000001,982263232_000001,236946074,982263232,service,path,,,,,False,False,False,False,0.0,-1.0,90.81335503679934,False,suspicious_grade_jump,False
45216,668982.276,3548045.466,236946074_000002,982263232_000001,236946074,982263232,service,path,,,,,False,False,False,False,0.0,-1.0,89.20743950408213,False,suspicious_grade_jump,False
45601,666622.531,3550698.644,244790137_000005,575440674_000001,244790137,575440674,residential,path,模范马路,,,,False,False,False,False,0.0,-1.0,89.10580493404646,False,suspicious_grade_jump,False
45601,666622.531,3550698.644,244790137_000006,575440674_000001,244790137,575440674,residential,path,模范马路,,,,False,False,False,False,0.0,-1.0,91.93604651869929,False,suspicious_grade_jump,False
45784,673500.709,3547393.794,414745093_000015,1435450094_000010,414745093,1435450094,unclassified,footway,四方城西路,,,,False,False,False,False,0.0,-1.0,107.55857439165656,False,suspicious_grade_jump,False
45784,673500.709,3547393.794,414745093_000016,1435450094_000010,414745093,1435450094,unclassified,footway,四方城西路,,,,False,False,False,False,0.0,-1.0,74.04654569339003,False,suspicious_grade_jump,False
47267,648941.799,3557942.909,254308109_000018,1288599168_000026,254308109,1288599168,secondary,service,,,X302,,False,True,False,False,0.0,1.0,66.64350414260211,False,suspicious_grade_jump,False
47267,648941.799,3557942.909,254308109_000019,1288599168_000026,254308109,1288599168,secondary,service,,,X302,,False,True,False,False,0.0,1.0,112.0874762514038,False,suspicious_grade_jump,False
50466,669211.828,3547979.21,256938731_000002,1237572206_000003,256938731,1237572206,residential,footway,,,,,False,True,False,False,0.0,1.0,128.40731273813907,False,suspicious_grade_jump,False
50466,669211.828,3547979.21,256938731_000003,1237572206_000003,256938731,1237572206,residential,footway,,,,,False,True,False,False,0.0,1.0,51.58935541873968,False,suspicious_grade_jump,False
50666,665794.683,3544006.216,260397444_000041,1311220221_000001,260397444,1311220221,secondary,residential,西城路,,,,False,True,False,False,0.0,1.0,91.73541117917713,False,suspicious_grade_jump,False
50666,665794.683,3544006.216,260397444_000042,1311220221_000001,260397444,1311220221,secondary,residential,西城路,,,,False,True,False,False,0.0,1.0,88.26663236367531,False,suspicious_grade_jump,False
51367,652958.566,3549262.548,264273123_000014,1275461465_000001,264273123,1275461465,residential,service,城运路,,,,False,True,False,False,0.0,1.0,87.97625549048978,False,suspicious_grade_jump,False
51367,652958.566,3549262.548,264273123_000015,1275461465_000001,264273123,1275461465,residential,service,城运路,,,,False,True,False,False,0.0,1.0,92.0300144802916,False,suspicious_grade_jump,False
51856,669077.85,3543960.536,271372215_000001,271372237_000001,271372215,271372237,footway,footway,,,,,True,False,False,False,0.0,0.0,83.86319984964571,False,suspicious_grade_jump,False
52081,677136.553,3548121.843,272579916_000001,704453024_000050,272579916,704453024,service,path,37 拥翠亭到五棵松,,,,False,False,False,False,5.0,0.0,56.8307001355958,False,suspicious_grade_jump,False
